user_id,app_name,screen_time_min,category,date,age,gender,source,birim_katsayı,Toplam_GB_Harcama,su_katsayi,Toplam_Su_Harcama_Litre
1034,instagram,25.19,Social,2024-01-01,,,screen_time_app_usage,0.72,0.30228,0.222,0.06710616
1063,instagram,4.37,Social,2024-01-01,,,screen_time_app_usage,0.72,0.05244,0.222,0.01164168
1060,instagram,58.42,Social,2024-01-01,,,screen_time_app_usage,0.72,0.70104,0.222,0.15563088
1016,snapchat,5.08,Social,2024-01-01,,,screen_time_app_usage,0.6,0.0508,0.037,0.0018796
1060,instagram,36.16,Social,2024-01-01,,,screen_time_app_usage,0.72,0.4339199999999999,0.222,0.09633023999999998
1065,instagram,31.61,Social,2024-01-01,,,screen_time_app_usage,0.72,0.37932,0.222,0.08420904
1059,snapchat,110.47,Social,2024-01-01,,,screen_time_app_usage,0.6,1.1047,0.037,0.0408739
1041,netflix,4.1,Entertainment,2024-01-01,,,screen_time_app_usage,3.0,0.205,0.011,0.0022549999999999996
1041,instagram,13.79,Social,2024-01-01,,,screen_time_app_usage,0.72,0.16548,0.222,0.036736559999999994
1069,snapchat,21.09,Social,2024-01-01,,,screen_time_app_usage,0.6,0.2109,0.037,0.0078033
1019,snapchat,84.67,Social,2024-01-01,,,screen_time_app_usage,0.6,0.8467,0.037,0.0313279
1004,youtube,5.96,Entertainment,2024-01-01,,,screen_time_app_usage,3.0,0.298,0.066,0.019668
1041,whatsapp,57.81,Social,2024-01-01,,,screen_time_app_usage,0.18,0.17343,0.222,0.03850146
1009,snapchat,8.23,Social,2024-01-01,,,screen_time_app_usage,0.6,0.0823,0.037,0.0030451
1033,instagram,16.06,Social,2024-01-01,,,screen_time_app_usage,0.72,0.19271999999999997,0.222,0.04278384
1061,youtube,29.27,Entertainment,2024-01-02,,,screen_time_app_usage,3.0,1.4635,0.066,0.09659100000000001
1083,whatsapp,20.94,Social,2024-01-02,,,screen_time_app_usage,0.18,0.06282,0.222,0.01394604
1027,youtube,3.36,Entertainment,2024-01-02,,,screen_time_app_usage,3.0,0.168,0.066,0.011088
1054,tiktok,2.11,Entertainment,2024-01-02,,,screen_time_app_usage,1.28,0.045013333333333336,0.09,0.0040512000000000005
1085,tiktok,13.1,Entertainment,2024-01-02,,,screen_time_app_usage,1.28,0.2794666666666667,0.09,0.025152
1000,whatsapp,13.04,Social,2024-01-02,,,screen_time_app_usage,0.18,0.03912,0.222,0.00868464
1032,whatsapp,17.62,Social,2024-01-02,,,screen_time_app_usage,0.18,0.052860000000000004,0.222,0.011734920000000001
1016,youtube,22.13,Entertainment,2024-01-02,,,screen_time_app_usage,3.0,1.1065,0.066,0.07302900000000001
1035,tiktok,11.08,Entertainment,2024-01-02,,,screen_time_app_usage,1.28,0.23637333333333335,0.09,0.0212736
1059,netflix,7.0,Entertainment,2024-01-02,,,screen_time_app_usage,3.0,0.35,0.011,0.0038499999999999997
1069,whatsapp,30.81,Social,2024-01-02,,,screen_time_app_usage,0.18,0.09243,0.222,0.02051946
